GRUP,OBJECTE,ÍTEM 1,ÍTEM 2,ÍTEM 3,ÍTEM 4,NOMBRE RESPOSTES,COMENTARI
SMX2B,MP08 - Aplicacions web,"2,58","4,42","4,33","3,92",12,"Professor: Joaquim Sàbria. Arriba tard, no sap explicar, comencem un temari i el deixem a mitges i comencem un altre, s'embolica molt, i el millor de tot, es creu el superior o millor de tots.
No me gusta para nada su forma de ser, de explicar el temario. Sus clases son muy aburridas, su personalidad le desagrada a toda la clase, la forma de evaluar si que esta bien, el material de clase tambien, pero si hay algo a cambiar es que no sea tan pesado o cambiad de profe
Joaquim Sabria. No explica be, no sap tractar de manera adequada al alumnat, no sap moltes coses de la seva pròpia matèria al contrari que el Rubèn que vaig estar al principi de curs a les seves classes y explicava perfectament. 
Mi profesor es Joaquim Sabria y no me parece adecuada la forma que tiene de explicar las cosas, a veces parece que ni el mismo sepa lo que está haciendo. Su manera de enseñar es mediocre. Llega muchas veces tarde a clases. Suele vacilar a sus alumnos.
No tiene una organizacion a la hora de las UF's. No explica mucho ya que parece que no sabe mucho del tema, suele mandarnos a mirar por Internet ya que no tiene mucha idea de la materia o eso parece. 
Es un  Hicimos un UF1 durante 2 meses, de sep a nov. Entre esta vez, él cambia sus asientos. pero nos pide que nos envíen el archivo de esta práctica. Si alguien que sonríe en la clase se acaba de ofender.No sé cómo es el maestro de Elpuig castellar con y tambien no tiene cracter
Al meu cas el professor d'aquest modul es Joaquim Sabria i tant personalment com a nivell de classe opinem que com a professor es un incompetent, tenim moltes queixes degut a que no aprenem el que es proposa a 2n de SMX. Això no es culpa del modul sinó d'en Joaquim.
No me gusta su forma de explicar ya que cuando se le hace una simple pregunta el no la responde claramente y tiene una forma de ser muy pesada ya que solo por hacer una minima  como despistarse por un segundo le molesta.
No hay organización a la hora de trabajar, es repetitivo y cansa, no se aprende casi nada, dejamos la cosas a medias y 2 años después las pide. Pero en si la asignatura está bien, solo que el profesor (Joaquim Sabrià) la hace pesada. 
Se enrolla demasiado al hablar. A veces esta en medio de una clase y se pone a contarnos su vida. Debería darse cuenta de que el colegeo que intenta transmitir no es el adecuado y eso a veces nos hace sentir incomodos. SI explica algo que lo haga sin dar muchas vueltas.
  Excelsior!"
SMX2B,MP10 - Empresa i iniciativa emprenedora,"7,92","8,33","7,50","8,42",12,"Es muy buena profe, el problema es que el tema del cual trata la clase  es muy aburrido
(Sònia)"
SMX2B,MP12 - Síntesi,"6,91","7,55","6,64","6,73",11,"De momento solo hemos hecho muy pocas horas poque aun no es el momento de empezar el credito, pero si que hemos hecho unas horas y esta muy bien"
SMX2B,Tutoria 2n curs,"6,40","6,20","6,80","5,80",5,"No hemos hecho tutoria.
Tenir 1h a la setmana de Tutoria."
SMX2C,MP04 - Sistemes operatius en xarxa,"8,64","8,55","8,00","8,91",11,La organizacion de las actividades me parece muy buena (ritmo de 1 actividad por dia).
SMX2C,MP06 - Seguretat informàtica,"7,27","8,27","7,36","7,73",11,Molt contingut extern al Moodle però les classes teòriques haurien de millorar.
SMX2C,MP07 - Serveis de xarxa,"7,18","4,73","7,91","8,27",11,"Los ejemplos prácticos del diario son lamentables
Avalua com li surt dels cojons.  
- Forma de avaluar activitats basada en participació en comptes de contingut. - Poca flexibilitat a l'entrega de treballs. - Es parla constantment de religió a classe e incita a la inclusió a la religió (cristianisme). - El professor arriba tard a classe i quan arriba s'entreté."
SMX2C,MP08 - Aplicacions web,"9,40","8,80","9,00","9,50",10,"Clases muy didacticas y divertidas en ambito de trabajo ^^
Que no se cambie el profesor
La forma d'explicar del professor es molt bona, sap comunicar-se amb els alumnes i sap adaptar els continguts al nostre coneixement. Si no fos per que el professor modifica les activitats per fer-les més entretingudes, aquestes son poc practiques i avorrides."
SMX2C,MP10 - Empresa i iniciativa emprenedora,"8,75","9,00","7,75","8,88",8,"La clases no se hacen para nada pesadas y el profesor el de 10.
El professor ha fet que un mòdul que es poc interessant es faci entretingut i interessant."
SMX2C,MP12 - Síntesi,"7,71","7,43","7,14","7,71",7,
SMX2C,Tutoria 2n curs,"9,00","9,00","9,40","7,90",10,"La mejor tutora
La mejor tutora
La mejor tutora
Establir una hora especifica a la setmana per a fer tutoria i parlar del que ens preocupa."
